PERIOD,PHS,MR,Q2,Q3,Q4
31-Mar-90,217,10.1202,0,0,0
30-Jun-90,271.3,10.3372,1,0,0
30-Sep-90,233,10.1033,0,1,0
31-Dec-90,173.6,9.9547,0,0,1
31-Mar-91,146.7,9.5008,0,0,0
30-Jun-91,254.1,9.5265,1,0,0
30-Sep-91,239.8,9.2755,0,1,0
31-Dec-91,199.8,8.6882,0,0,1
31-Mar-92,218.5,8.7098,0,0,0
30-Jun-92,296.4,8.6782,1,0,0
30-Sep-92,276.4,8.0085,0,1,0
31-Dec-92,238.8,8.2052,0,0,1
31-Mar-93,213.2,7.7332,0,0,0
30-Jun-93,323.7,7.4515,1,0,0
30-Sep-93,309.3,7.0778,0,1,0
31-Dec-93,279.4,7.0537,0,0,1
31-Mar-94,252.6,7.2958,0,0,0
30-Jun-94,354.2,8.4370,1,0,0
30-Sep-94,325.7,8.5882,0,1,0
31-Dec-94,265.9,9.0977,0,0,1
31-Mar-95,214.2,8.8123,0,0,0
30-Jun-95,296.7,7.9470,1,0,0
30-Sep-95,308.2,7.7012,0,1,0
31-Dec-95,257.2,7.3508,0,0,1
31-Mar-96,240,7.2430,0,0,0
30-Jun-96,344.5,8.1050,1,0,0
30-Sep-96,324,8.1590,0,1,0
31-Dec-96,252.4,7.7102,0,0,1
31-Mar-97,237.8,7.7905,0,0,0
30-Jun-97,324.5,7.9255,1,0,0
30-Sep-97,314.6,7.4692,0,1,0
31-Dec-97,256.8,7.1980,0,0,1
31-Mar-98,258.4,7.0547,0,0,0
30-Jun-98,360.4,7.0938,1,0,0
30-Sep-98,348,6.8657,0,1,0
31-Dec-98,304.6,6.7633,0,0,1
31-Mar-99,294.1,6.8805,0,0,0
30-Jun-99,377.1,7.2037,1,0,0
30-Sep-99,355.6,7.7990,0,1,0
31-Dec-99,308.1,7.8338,0,0,1
