Unsafe,Size,Weight,Region,Type
Average or Above,2,3,N America,Medium
Average or Above,3,4,N America,Sport/Utility
Average or Above,2,3,N America,Medium
Average or Above,1,3,N America,Small
Average or Above,2,3,N America,Medium
Average or Above,2,3,N America,Medium
Average or Above,3,4,N America,Sport/Utility
Average or Above,2,3,Asia,Medium
Average or Above,2,4,N America,Medium
Average or Above,1,3,N America,Small
Below Average,1,3,N America,Small
Average or Above,1,3,Asia,Small
Average or Above,2,3,N America,Medium
Average or Above,2,3,N America,Medium
Average or Above,2,3,N America,Medium
Average or Above,3,3,N America,Large
Average or Above,3,4,N America,Large
Average or Above,3,4,N America,Large
Average or Above,3,4,N America,Large
Average or Above,3,4,N America,Large
Below Average,1,3,N America,Small
Below Average,2,3,N America,Medium
Below Average,2,3,N America,Medium
Average or Above,3,4,N America,Large
Below Average,1,3,N America,Sports
Average or Above,1,3,N America,Sports
Average or Above,3,6,N America,Sport/Utility
Average or Above,3,4,N America,Large
Average or Above,3,4,N America,Large
Average or Above,3,3,N America,Large
Average or Above,1,3,N America,Small
Below Average,1,2,N America,Small
Average or Above,3,4,N America,Large
Below Average,1,3,N America,Sports
Below Average,1,3,N America,Small
Average or Above,3,4,N America,Large
Below Average,1,3,N America,Sports
Below Average,1,3,N America,Sports
Average or Above,3,1,N America,Sport/Utility
Average or Above,3,5,N America,Sport/Utility
Average or Above,3,6,N America,Sport/Utility
Average or Above,3,5,N America,Sport/Utility
Below Average,1,3,N America,Small
Below Average,1,2,N America,Small
Below Average,3,3,N America,Sport/Utility
Below Average,1,2,Asia,Small
Average or Above,2,3,Asia,Medium
Below Average,1,3,Asia,Sports
Below Average,1,2,Asia,Sports
Average or Above,3,4,Asia,Sport/Utility
Average or Above,2,3,Asia,Medium
Average or Above,2,4,Asia,Medium
Average or Above,3,4,Asia,Sport/Utility
Average or Above,3,4,Asia,Sport/Utility
Average or Above,3,4,N America,Sport/Utility
Average or Above,3,3,N America,Sport/Utility
Average or Above,3,3,N America,Sport/Utility
Average or Above,2,3,Asia,Medium
Average or Above,3,4,N America,Large
Below Average,1,3,Asia,Small
Average or Above,2,3,Asia,Medium
Average or Above,1,2,Asia,Sports
Average or Above,1,3,Asia,Sports
Below Average,1,3,N America,Small
Average or Above,2,3,N America,Medium
Average or Above,3,4,N America,Large
Below Average,1,2,Asia,Small
Average or Above,2,4,Asia,Medium
Below Average,2,3,Asia,Medium
Average or Above,1,4,Asia,Sports
Below Average,1,3,Asia,Sports
Below Average,1,3,Asia,Small
Average or Above,2,3,Asia,Medium
Below Average,2,3,Asia,Medium
Average or Above,1,4,Asia,Sports
Average or Above,2,3,N America,Medium
Average or Above,2,3,N America,Medium
Average or Above,2,3,N America,Medium
Average or Above,3,3,N America,Large
Average or Above,3,4,N America,Large
Average or Above,2,3,N America,Medium
Average or Above,2,4,N America,Medium
Average or Above,3,4,N America,Large
Below Average,1,4,N America,Sports
Average or Above,1,2,N America,Small
Average or Above,1,2,N America,Sports
Average or Above,1,2,Asia,Small
Average or Above,2,3,Asia,Medium
Below Average,1,2,Asia,Small
Below Average,3,3,Asia,Sport/Utility
Below Average,1,2,Asia,Small
Below Average,1,3,Asia,Small
Average or Above,2,3,Asia,Medium
Below Average,2,3,Asia,Medium
Below Average,1,3,Asia,Sports
Average or Above,3,5,Asia,Sport/Utility
